county_fips,county,total_population,total_pop18plus,high_blood_pressure,obesity,coronary_heart_disease,diabetes
48179,Gray,20916,15662,,,,
48333,Mills,4548,3625,,,,
48341,Moore,21190,14480,,,,
48153,Floyd,5090,3788,,,,
48279,Lamb,12711,9252,,,,
48399,Runnels,9868,7542,,,,
48023,Baylor,3463,2691,,,,
48071,Chambers,53876,38951,,,,
48019,Bandera,22637,18811,,,,
48383,Reagan,3141,2250,,,,
48107,Crosby,4917,3652,,,,
48015,Austin,31677,24216,,,,
48357,Ochiltree,9704,6797,,,,
48297,Live Oak,11584,9407,,,,
48125,Dickens,1711,1399,,,,
48317,Martin,5216,3571,,,,
48243,Jeff Davis,1856,1764,,,,
48169,Garza,4517,3597,,,,
48353,Nolan,14306,10732,,,,
48095,Concho,3297,2894,,,,
48387,Red River,11678,9261,,,,
48163,Frio,17987,13345,,,,
48041,Brazos,244703,195226,,,,
48059,Callahan,14374,11235,,,,
48155,Foard,1079,854,,,,
48049,Brown,38709,30770,,,,
48379,Rains,12986,10414,,,,
48025,Bee,30850,24638,,,,
48017,Bailey,6672,4676,,,,
48233,Hutchinson,20033,15111,,,,
48027,Bell,393193,285194,,,,
48397,Rockwall,131307,96606,,,,
48009,Archer,9029,6979,,,,
48229,Hudspeth,3451,3036,,,,
48087,Collingsworth,2563,1897,,,,
48157,Fort Bend,916778,674906,,,,
48215,Hidalgo,898471,624451,,,,
48101,Cottle,1294,1043,,,,
48319,Mason,3931,3203,,,,
48335,Mitchell,9075,7271,,,,
48199,Hardin,58261,43697,,,,
48141,El Paso,869880,646273,,,,
48281,Lampasas,23262,18331,,,,
48231,Hunt,113347,85368,,,,
48221,Hood,67774,53986,,,,
48033,Borden,572,455,,,,
48031,Blanco,13048,10896,,,,
48161,Freestone,20441,15822,,,,
48147,Fannin,37571,29614,,,,
48181,Grayson,146907,111562,,,,
48329,Midland,177108,125208,,,,
48123,DeWitt,19929,15349,,,,
48127,Dimmit,8257,5890,,,,
48003,Andrews,18664,12871,,,,
48313,Madison,13742,10656,,,,
48285,Lavaca,20571,15741,,,,
48359,Oldham,1783,1398,,,,
48191,Hall,2818,2210,,,,
48337,Montague,21598,16711,,,,
48159,Franklin,10735,8409,,,,
48103,Crane,4574,3247,,,,
48137,Edwards,1393,1097,,,,
48145,Falls,17286,13585,,,,
48393,Roberts,840,631,,,,
48315,Marion,9571,7838,,,,
48299,Llano,22875,19317,,,,
48295,Lipscomb,2906,2179,,,,
48093,Comanche,14050,10881,,,,
