county_fips,svi_county,svi_location,rpl_themes,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4,ep_pov150,ep_unemp,ep_nohsdp,ep_uninsur,ep_age65,ep_disabl,ep_minrty,ep_limeng,ep_noveh,ep_groupq
48001,Anderson County,"Anderson County, Texas",0.896,0.7862,0.5428,0.8129,0.9943,25.7,3.9,15.2,17.4,14.8,16.8,43.3,2,6.5,21.7
48003,Andrews County,"Andrews County, Texas",0.6834,0.7254,0.608,0.9259,0.3853,22.5,2.7,26.2,24.9,9.6,11.9,61.6,8.2,1.6,0.7
48005,Angelina County,"Angelina County, Texas",0.9917,0.9386,0.9876,0.7916,0.9656,30.8,6,16,18.6,16.3,19.1,40.7,3.6,5.6,3.6
48007,Aransas County,"Aransas County, Texas",0.7614,0.7849,0.3952,0.714,0.7865,26.3,4.4,11.4,15.5,27.6,16.9,34.1,0.7,5.1,1.4
48009,Archer County,"Archer County, Texas",0.2657,0.3843,0.7531,0.3748,0.035,18.9,3.1,8.8,16.6,20.6,17.6,12.8,1.2,2.5,0.8
48011,Armstrong County,"Armstrong County, Texas",0.0865,0.0643,0.56,0.3802,0.0458,14.7,0.2,7.2,7.3,28.7,11.7,13,0.9,0,3.1
48013,Atascosa County,"Atascosa County, Texas",0.8664,0.8279,0.8349,0.9551,0.6707,23.7,6.4,19.4,21.4,14.8,11.8,68.7,5.9,5.5,0.9
48015,Austin County,"Austin County, Texas",0.7133,0.5991,0.8877,0.7821,0.4547,22.2,3.8,12.1,14,20,13,39.9,3.5,3.5,1
48017,Bailey County,"Bailey County, Texas",0.7843,0.4712,0.9138,0.966,0.7792,19.1,2.1,26.8,32.1,12.4,13,71.9,18.5,13.2,2.7
48019,Bandera County,"Bandera County, Texas",0.5899,0.5838,0.6519,0.6198,0.44,21.5,6.7,8,13.9,27.9,18.8,25.9,2.3,1.5,2.2
48021,Bastrop County,"Bastrop County, Texas",0.7566,0.7276,0.5517,0.8791,0.6872,20.5,4.4,16.9,19.2,15.4,12.1,51.7,4.8,2.9,2.5
48023,Baylor County,"Baylor County, Texas",0.462,0.5358,0.5313,0.525,0.2647,18.9,1.1,13,16.3,23.9,23.6,19.8,0,3.1,2.3
