county,county_fips,diabetes,obesity,high_blood_pressure,coronary_heart_disease,smoking,uninsured,rpl_themes
Dimmit,48127,22.45,47.25,54.925,9.2,19.4,41.35,0.9994
Zavala,48507,22,47.85,53.95,8.65,18.35,42.599999999999994,0.909
Jim Hogg,48247,21.5,45.2,54.2,8.95,17.7,40.95,0.6427
Zapata,48505,20.450000000000003,44.1,52.425,8.15,17.450000000000003,43.05,0.9968
Starr,48427,20.25,45.4,51.45,7.699999999999999,17.25,43.6,0.9905
Presidio,48377,20,41.75,54.425,8.9,15.399999999999999,35.15,0.9933
Brooks,48047,19,42.900000000000006,52.175,7.6,15.75,37.9,0.9163
Willacy,48489,18.9,43.8,51.349999999999994,7.6,16.9,40.75,0.985
San Augustine,48405,18.049999999999997,43.7,58.4,9.8,22.35,18.25,0.9885
Maverick,48323,17.950000000000003,44.25,50.225,6.6,14.5,38.9,0.9901
Cameron,48061,17.9,40.65,50.4,6.8,13.3,36.099999999999994,0.9844
Duval,48131,17.9,41.7,52.05,7.5,15.3,35.65,0.9768
Cochran,48079,17.85,42.7,53.099999999999994,8.3,19.35,32.7,0.938
Culberson,48109,17.75,40.55,52.925,7.699999999999999,16.5,31.65,0.8393
Reeves,48389,17.55,40.85,50.45,6.9,15.75,37.4,0.9548
