county_fips,county,total_population,total_pop18plus,coronary_heart_disease,diabetes,high_blood_pressure,obesity,smoking,uninsured,svi_county,svi_location,rpl_themes,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4,ep_pov150,ep_unemp,ep_nohsdp,ep_uninsur,ep_age65,ep_disabl,ep_minrty,ep_limeng,ep_noveh,ep_groupq
48001,Anderson,57736,46379,6.65,13.45,52.375,39.7,17.299999999999997,19.15,Anderson County,"Anderson County, Texas",0.896,0.7862,0.5428,0.8129,0.9943,25.7,3.9,15.2,17.4,14.8,16.8,43.3,2,6.5,21.7
48003,Andrews,18664,12871,5.75,12.8,48.35,36.650000000000006,14.45,26,Andrews County,"Andrews County, Texas",0.6834,0.7254,0.608,0.9259,0.3853,22.5,2.7,26.2,24.9,9.6,11.9,61.6,8.2,1.6,0.7
48005,Angelina,87319,65255,7.25,13.95,54.074999999999996,40.9,17.25,19.1,Angelina County,"Angelina County, Texas",0.9917,0.9386,0.9876,0.7916,0.9656,30.8,6,16,18.6,16.3,19.1,40.7,3.6,5.6,3.6
48007,Aransas,25374,20864,7.449999999999999,13.65,53.925,36.2,14.35,16.8,Aransas County,"Aransas County, Texas",0.7614,0.7849,0.3952,0.714,0.7865,26.3,4.4,11.4,15.5,27.6,16.9,34.1,0.7,5.1,1.4
48009,Archer,9029,6979,6.5,11.3,51.275,34.8,14.7,12.7,Archer County,"Archer County, Texas",0.2657,0.3843,0.7531,0.3748,0.035,18.9,3.1,8.8,16.6,20.6,17.6,12.8,1.2,2.5,0.8
48011,Armstrong,1832,1422,6.25,11,51.05,33.3,13.05,11.7,Armstrong County,"Armstrong County, Texas",0.0865,0.0643,0.56,0.3802,0.0458,14.7,0.2,7.2,7.3,28.7,11.7,13,0.9,0,3.1
48013,Atascosa,51784,38008,6.25,14.7,50.95,42.2,13.75,27.7,Atascosa County,"Atascosa County, Texas",0.8664,0.8279,0.8349,0.9551,0.6707,23.7,6.4,19.4,21.4,14.8,11.8,68.7,5.9,5.5,0.9
48015,Austin,31677,24216,6.85,13.25,52.525,37.4,14.75,17.7,Austin County,"Austin County, Texas",0.7133,0.5991,0.8877,0.7821,0.4547,22.2,3.8,12.1,14,20,13,39.9,3.5,3.5,1
48017,Bailey,6672,4676,6.75,14.9,50.45,39.15,14.65,30.4,Bailey County,"Bailey County, Texas",0.7843,0.4712,0.9138,0.966,0.7792,19.1,2.1,26.8,32.1,12.4,13,71.9,18.5,13.2,2.7
48019,Bandera,22637,18811,7.4,13.25,53.575,35.45,14.05,14.95,Bandera County,"Bandera County, Texas",0.5899,0.5838,0.6519,0.6198,0.44,21.5,6.7,8,13.9,27.9,18.8,25.9,2.3,1.5,2.2
48021,Bastrop,110778,82035,6.1,12.7,50.425,40.150000000000006,14,21.950000000000003,Bastrop County,"Bastrop County, Texas",0.7566,0.7276,0.5517,0.8791,0.6872,20.5,4.4,16.9,19.2,15.4,12.1,51.7,4.8,2.9,2.5
48023,Baylor,3463,2691,7.6,13.25,53.175,36.3,16.549999999999997,15.600000000000001,Baylor County,"Baylor County, Texas",0.462,0.5358,0.5313,0.525,0.2647,18.9,1.1,13,16.3,23.9,23.6,19.8,0,3.1,2.3
48025,Bee,30850,24638,6.1,14.25,49.575,39.35,14.9,27.549999999999997,Bee County,"Bee County, Texas",0.9166,0.9507,0.4098,0.9599,0.9329,30.8,6.4,19.8,17.2,12.6,15.2,70.2,3.2,5,23.7
48027,Bell,393193,285194,5.5,12.8,49.6,43.35,13.45,16.15,Bell County,"Bell County, Texas",0.937,0.8871,0.8861,0.9033,0.881,26.1,7.7,9.2,14.5,11.3,14.8,56.8,2.3,5.8,2.9
48029,Bexar,2087679,1577040,5.4,13.850000000000001,49.3,34.150000000000006,12.25,21.9,Bexar County,"Bexar County, Texas",0.9192,0.8995,0.8635,0.972,0.7712,25,5.5,14.1,16,12.3,14.3,73.9,5.6,6.4,1.7
48031,Blanco,13048,10896,6.15,11.149999999999999,51.325,34.4,11.6,12.65,Blanco County,"Blanco County, Texas",0.2339,0.3999,0.2593,0.615,0.0694,15.5,3.9,9.7,15.2,24.3,14.5,25.5,1.4,1.8,1.1
48033,Borden,572,455,6.5,11.25,51.625,33.1,12.600000000000001,11.95,Borden County,"Borden County, Texas",0.0267,6e-4,0.1311,0.4932,0.1193,2.6,1.8,5.5,2.3,18.4,10.5,17.9,0.5,1.4,0
48035,Bosque,18996,15064,7,12.4,52.3,36,14.45,15.35,Bosque County,"Bosque County, Texas",0.5794,0.4919,0.7964,0.5994,0.4356,22.3,3.9,12.3,18.2,24.9,19.3,24.5,2.2,2.9,1.9
48037,Bowie,91687,69941,6.5,12.95,53.05,36.8,16.15,14.25,Bowie County,"Bowie County, Texas",0.8766,0.7413,0.7114,0.7585,0.9768,26.8,4,10,15.5,17.1,12.6,37.8,1.1,6.2,6.2
48039,Brazoria,398938,297394,5,11.65,50.75,36.05,11.45,16.35,Brazoria County,"Brazoria County, Texas",0.6519,0.4588,0.5966,0.9007,0.7245,14.2,4.6,11.2,13.4,12.2,9.7,56.4,3.6,2.7,3.3
48041,Brazos,244703,195226,5.25,11.1,47.45,31.099999999999998,12.75,15.850000000000001,Brazos County,"Brazos County, Texas",0.804,0.8368,0.1464,0.8377,0.9392,31.9,4.6,10.7,12.2,9.5,9.6,45.6,3.2,5.5,7.6
48043,Brewster,9513,7906,5.75,11.65,49.975,33.2,10,16.200000000000003,Brewster County,"Brewster County, Texas",0.6478,0.5352,0.4168,0.8603,0.7359,23.3,3,11.1,11.9,23.9,12.2,48.1,2.1,6.1,2.7
48045,Briscoe,1445,1128,8.3,15.4,54.225,39.65,17.05,21.1,Briscoe County,"Briscoe County, Texas",0.5479,0.8587,0.8072,0.8101,0.008,48,3.3,15.4,20.9,30.1,21.1,43.1,4.9,4,0
48047,Brooks,6848,5111,7.6,19,52.175,42.900000000000006,15.75,37.9,Brooks County,"Brooks County, Texas",0.9163,0.9014,0.8377,0.9965,0.7687,41.9,2.1,29.9,24.6,19.8,23.9,91.7,7,15.5,7.2
48049,Brown,38709,30770,6.9,12.7,51.65,35.05,15.5,17.05,Brown County,"Brown County, Texas",0.9135,0.742,0.9631,0.6701,0.943,24.7,3.8,12.6,17.3,20.1,21.3,30.3,2,5.7,4.7
48051,Burleson,19475,15139,6.45,12.5,52.3,35.849999999999994,14.149999999999999,16.4,Burleson County,"Burleson County, Texas",0.5049,0.4034,0.5399,0.7436,0.4664,18.1,3.8,16.3,13.8,21.7,13.7,36.6,5.2,3.4,1.2
48053,Burnet,53991,43122,6.550000000000001,11.9,51.425,35.349999999999994,13.3,15.25,Burnet County,"Burnet County, Texas",0.5819,0.4986,0.6911,0.6437,0.5046,19.1,3.4,11.6,17.4,23.1,15.9,28.1,2.8,3.3,1.7
48055,Caldwell,49859,38288,6.2,14.05,50.325,42.3,14.5,26.15,Caldwell County,"Caldwell County, Texas",0.8956,0.7299,0.7442,0.9364,0.9745,26.2,2.4,19.7,24.5,15.2,16.1,63.3,5.8,4.5,8.2
48057,Calhoun,19696,15174,6.449999999999999,13.45,50.9,34.95,13.15,22.55,Calhoun County,"Calhoun County, Texas",0.72,0.3605,0.9675,0.9163,0.6007,18.5,3.4,15.7,9.5,18.4,18.8,59.3,4.4,4.1,1.7
48059,Callahan,14374,11235,6.6,11.7,51.65,36.1,14.75,12.9,Callahan County,"Callahan County, Texas",0.2956,0.4155,0.5444,0.4699,0.0929,19.6,4.8,7.9,17.2,20.6,21.1,16.9,0.8,3.4,0.6
