,,,Premature Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor Physical Health Days,,,,Low Birth Weight,,,,,,,,,,,,,,,,,,,,,,,,,,Poor Mental Health Days,,,,Poor or Fair Health,,,,Flu Vaccinations,,,,,,,Access to Exercise Opportunities,,Food Environment Index,,Primary Care Physicians,,,,Mental Health Providers,,,,Dentists,,,,Preventable Hospital Stays,,,,,,,Mammography Screening,,,,,,,Uninsured,,,,,Severe Housing Problems,,,,,,,,,,,,,Driving Alone to Work,,,,,,,,,,,,,,,,,,,Long Commute - Driving Alone,,,,,Air Pollution: Particulate Matter,,Drinking Water Violations,,Broadband Access,,,,,Library Access,,Some College,,,,,,High School Completion,,,,,,Unemployment,,,,Income Inequality,,,,Children in Poverty,,,,,,,,,Injury Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,Social Associations,,,Child Care Cost Burden,,
FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,National Z-Score,YPLL Rate (Hispanic (all races)),YPLL Rate (Hispanic (all races)) 95% CI - Low,YPLL Rate (Hispanic (all races)) 95% CI - High,YPLL Rate (Hispanic (all races)) Unreliable,YPLL Rate (Non-Hispanic AIAN),YPLL Rate (Non-Hispanic AIAN) 95% CI - Low,YPLL Rate (Non-Hispanic AIAN) 95% CI - High,YPLL Rate (Non-Hispanic AIAN) Unreliable,YPLL Rate (Non-Hispanic Asian),YPLL Rate (Non-Hispanic Asian) 95% CI - Low,YPLL Rate (Non-Hispanic Asian) 95% CI - High,YPLL Rate (Non-Hispanic Asian) Unreliable,YPLL Rate (Non-Hispanic Black),YPLL Rate (Non-Hispanic Black) 95% CI - Low,YPLL Rate (Non-Hispanic Black) 95% CI - High,YPLL Rate (Non-Hispanic Black) Unreliable,YPLL Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),YPLL Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,YPLL Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,YPLL Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) Unreliable,YPLL Rate (Non-Hispanic 2+ races),YPLL Rate (Non-Hispanic 2+ races) 95% CI - Low,YPLL Rate (Non-Hispanic 2+ races) 95% CI - High,YPLL Rate (Non-Hispanic 2+ races) Unreliable,YPLL Rate (Non-Hispanic White),YPLL Rate (Non-Hispanic White) 95% CI - Low,YPLL Rate (Non-Hispanic White) 95% CI - High,YPLL Rate (Non-Hispanic White) Unreliable,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,National Z-Score,Unreliable,% Low Birth Weight,95% CI - Low,95% CI - High,National Z-Score,% LBW (Hispanic (all races)),% LBW (Hispanic (all races)) 95% CI - Low,% LBW (Hispanic (all races)) 95% CI - High,% LBW (Non-Hispanic AIAN),% LBW (Non-Hispanic AIAN) 95% CI - Low,% LBW (Non-Hispanic AIAN) 95% CI - High,% LBW (Non-Hispanic Asian),% LBW (Non-Hispanic Asian) 95% CI - Low,% LBW (Non-Hispanic Asian) 95% CI - High,% LBW (Non-Hispanic Black),% LBW (Non-Hispanic Black) 95% CI - Low,% LBW (Non-Hispanic Black) 95% CI - High,% LBW (Non-Hispanic Native Hawaiian and Other Pacific Islander),% LBW (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,% LBW (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,% LBW (Non-Hispanic 2+ races),% LBW (Non-Hispanic 2+ races) 95% CI - Low,% LBW (Non-Hispanic 2+ races) 95% CI - High,% LBW (Non-Hispanic White),% LBW (Non-Hispanic White) 95% CI - Low,% LBW (Non-Hispanic White) 95% CI - High,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,National Z-Score,% Fair or Poor Health,95% CI - Low,95% CI - High,National Z-Score,% Vaccinated,National Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),% With Access to Exercise Opportunities,National Z-Score,Food Environment Index,National Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,National Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,National Z-Score,# Dentists,Dentist Rate,Dentist Ratio,National Z-Score,Preventable Hospitalization Rate,National Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% with Annual Mammogram,National Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,National Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,National Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,National Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,National Z-Score,Average Daily PM2.5,National Z-Score,Presence of Water Violation,National Z-Score,% Households with Broadband Access,# Households with Broadband Access,95% CI - Low,95% CI - High,National Z-Score,Visits per service area population,National Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,National Z-Score,# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,National Z-Score,# Unemployed,Labor Force,% Unemployed,National Z-Score,80th Percentile Income,20th Percentile Income,Income Ratio,National Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,National Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,National Z-Score,Injury Death Rate (Hispanic (all races)),Injury Death Rate (Hispanic (all races)) 95% CI - Low,Injury Death Rate (Hispanic (all races)) 95% CI - High,Injury Death Rate (Non-Hispanic AIAN),Injury Death Rate (Non-Hispanic AIAN) 95% CI - Low,Injury Death Rate (Non-Hispanic AIAN) 95% CI - High,Injury Death Rate (Non-Hispanic Asian),Injury Death Rate (Non-Hispanic Asian) 95% CI - Low,Injury Death Rate (Non-Hispanic Asian) 95% CI - High,Injury Death Rate (Non-Hispanic Black),Injury Death Rate (Non-Hispanic Black) 95% CI - Low,Injury Death Rate (Non-Hispanic Black) 95% CI - High,Injury Death Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Injury Death Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Injury Death Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Injury Death Rate (Non-Hispanic 2+ races),Injury Death Rate (Non-Hispanic 2+ races) 95% CI - Low,Injury Death Rate (Non-Hispanic 2+ races) 95% CI - High,Injury Death Rate (Non-Hispanic White),Injury Death Rate (Non-Hispanic White) 95% CI - Low,Injury Death Rate (Non-Hispanic White) 95% CI - High,# Associations,Social Association Rate,National Z-Score,% Household Income Required for Child Care Expenses,National Z-Score,
48000,Texas,,,394647,8233,8197,8269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.6,4.1,,,9,8,9,,,,,,,,,,,,,,,,,,,,,,,5.1,4.8,5.4,,20,19,21,,45,,,,,,,82,,5.7,,17818,60,1657:1,,51742,170,590:1,,18892,63,1590:1,,2968,,,,,,,41,,,,,,,4760829,19,19,19,,18,17,18,13,13,13,5,5,5,1,1,1,,73,73,73,,,,,,,,,,,,,,,,,13992594,39,39,39,,8.1,,,,90,9667355,90,90,,1,,5456012,8420357,65,64,65,,16534908,19294631,86,86,86,,594648,15067179,3.9,,153314,32121,4.8,,18,18,19,,,,,,,97064,66,66,67,,,,,,,,,,,,,,,,,,,,,,,22160,7.4,,24,,
48001,Texas,Anderson,,1298,11854,10931,12777,0.36,12071,10027,14114,,,,,,,,,,12362,10509,14214,,,,,,,,,,12208,10863,13554,,4.5,3.7,5.5,0.08,,7,7,8,-0.48,7,5,8,,,,,,,11,8,13,,,,,,,7,6,8,5.7,4.7,6.9,0.16,22,20,25,0.59,41,0.04,,23,33,37,42,36,1.15,6.2,1.09,22,38,2655:1,0.45,36,62,1604:1,0.64,27,47,2151:1,0.07,3528,0.65,,,2926,1019,3509,38,0.59,,,33,22,39,6314,18,16,20,1.56,14,10,19,10,6,13,5,2,8,2,0,4,0.37,83,79,87,0.82,,,,,,,84,72,96,79,68,90,81,77,85,20251,34,28,40,0.08,8.3,0.31,Yes,1.29,84,14347,81,86,0.10,1,0.71,8229,17965,46,40,51,1.14,35898,41749,86,84,87,0.51,806,22844,3.5,-0.06,113795,25986,4.4,-0.24,25,17,32,0.69,1,,35,39,19,318,110,98,122,0.33,97,73,128,,,,,,,78,58,104,,,,,,,127,110,144,57,9.8,0.29,23,-0.73,
48003,Texas,Andrews,,257,9227,7754,10700,-0.33,9336,7387,11286,,,,,,,,,,,,,,,,,,,,,,9580,7155,12006,,4.7,3.8,5.6,0.35,,8,7,10,-0.03,9,7,10,,,,,,,,,,,,,,,,7,5,10,5.7,4.6,6.9,0.00,25,23,28,1.21,20,2.07,,,,16,21,75,-0.55,7.2,0.24,9,49,2049:1,0.15,3,16,6221:1,0.84,4,22,4584:1,0.79,3684,0.79,,,,4163,3226,37,0.71,,,,37,37,3747,23,20,25,2.68,12,8,17,7,3,11,6,3,9,0,0,1,-0.11,85,80,90,1.07,,,,,,,,,,85,80,91,84,73,95,8676,32,25,39,-0.12,6.5,-0.59,Yes,1.29,90,6129,87,94,-0.92,1,0.48,2378,5321,45,35,55,1.23,8532,11099,77,72,82,2.19,281,9373,3.0,-0.50,149688,33468,4.5,-0.12,13,8,18,-0.72,,,,17,9,68,74,57,93,-0.88,60,41,85,,,,,,,,,,,,,,,,98,68,136,13,7.1,0.77,20,-1.22,
48005,Texas,Angelina,,1805,12483,11648,13317,0.52,8393,7034,9752,,,,,,,,,,18246,15640,20852,,,,,,,,,,12748,11626,13870,,5.0,4.3,5.7,0.78,,9,9,10,0.43,7,6,8,,,,13,5,20,15,13,17,,,,14,7,20,8,8,9,6.1,5.3,6.9,0.70,25,22,27,1.03,44,-0.26,,58,37,40,45,65,-0.13,6.4,0.92,57,66,1518:1,-0.32,144,165,606:1,0.20,51,59,1708:1,-0.28,3332,0.47,,,4446,3177,3256,40,0.35,,44,46,28,40,13772,20,17,22,1.99,15,13,17,10,8,12,4,3,6,1,0,1,0.45,82,79,84,0.63,,,,,,,78,61,95,78,73,83,85,82,87,37265,22,18,25,-0.93,8.8,0.56,Yes,1.29,89,28609,87,91,-0.69,2,0.26,11477,21341,54,49,59,0.45,48290,56893,85,84,86,0.71,1530,35036,4.4,0.63,111979,25344,4.4,-0.19,25,19,31,0.73,17,,34,35,15,349,80,72,89,-0.65,44,32,59,,,,,,,94,72,121,,,,,,,93,81,105,90,10.3,0.20,24,-0.68,
48007,Texas,Aransas,,658,12795,11057,14532,0.60,10611,7978,13244,,,,,,,,,,,,,,,,,,,,,,14043,11595,16492,,4.5,3.7,5.4,0.06,,9,7,10,0.08,9,7,11,,,,,,,,,,,,,,,,8,6,10,5.8,4.8,7.0,0.30,24,21,26,0.84,48,-0.64,,55,,31,49,71,-0.38,5.6,1.60,8,33,3064:1,0.59,24,95,1057:1,0.50,7,28,3563:1,0.61,1640,-1.10,,,,1068,1485,45,-0.26,,50,,30,46,3643,21,18,23,2.19,18,13,23,11,7,14,4,1,7,4,1,6,1.11,74,68,80,-0.39,,,,,,,,,,70,54,86,69,60,79,8930,24,17,32,-0.70,9.3,0.81,Yes,1.29,88,10274,83,92,-0.48,1,0.80,2907,5620,52,41,62,0.63,17566,19209,91,89,94,-0.51,465,9522,4.9,1.06,122701,24333,5.0,0.59,28,17,38,1.10,,,,39,25,156,129,109,150,0.99,75,49,110,,,,,,,,,,,,,,,,161,133,189,9,3.6,1.38,22,-0.94,
48009,Texas,Archer,,128,8958,6558,11358,-0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.4,5.2,-0.35,,6,4,7,-1.35,,,,,,,,,,,,,,,,,,,,,,5.9,4.8,7.1,0.47,18,16,20,-0.42,43,-0.16,,,,27,43,20,1.87,7.5,-0.02,,,,0.28,1,11,9029:1,0.86,,,,0.41,2705,-0.12,,,,,,40,0.35,,,,,,1166,17,14,19,1.36,11,8,15,9,5,13,1,0,3,2,0,3,-0.36,87,85,88,1.26,,,,,,,,,,,,,,,,3992,21,17,26,-0.94,7.7,0.01,No,-0.77,84,2894,80,88,0.03,1,0.49,1233,1932,64,55,73,-0.42,5570,6121,91,88,94,-0.42,142,4035,3.5,-0.07,132000,31000,4.3,-0.39,13,8,17,-0.79,,,,18,11,35,80,56,112,-0.65,,,,,,,,,,,,,,,,,,,,,,7,7.9,0.62,19,-1.34,
48011,Texas,Armstrong,x,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.5,4.5,-0.74,x,7,3,11,-0.69,,,,,,,,,,,,,,,,,,,,,,5.7,5.0,6.3,0.01,18,17,19,-0.42,33,0.81,,,,,,1,2.70,6.6,0.75,0,0,1839:0,1.49,,,,0.55,0,0,1850:0,1.43,1964,-0.80,,,,,,36,0.84,,,,,,165,12,10,13,0.24,6,0,11,5,0,12,1,0,5,0,0,3,-1.65,80,76,85,0.43,,,,,,,,,,,,,,,,848,43,28,58,0.78,5.8,-0.94,No,-0.77,92,693,86,98,-1.15,,0.18,192,377,51,36,66,0.70,1212,1289,94,90,98,-0.98,31,948,3.3,-0.27,129275,37700,3.4,-1.42,15,10,21,-0.46,,,,,,,,,,-0.41,,,,,,,,,,,,,,,,,,,,,,5,27.0,-2.73,23,-0.81,
48013,Texas,Atascosa,,921,10228,9280,11176,-0.07,10518,9338,11697,,,,,,,,,,,,,,,,,,,,,,9904,8245,11563,,4.7,3.8,5.6,0.32,,8,7,9,-0.19,8,7,9,,,,,,,,,,,,,,,,8,6,9,5.6,4.6,6.8,-0.04,25,23,28,1.13,33,0.81,,,,31,35,45,0.75,7.3,0.15,10,20,4994:1,0.94,34,66,1523:1,0.63,24,47,2119:1,0.05,2184,-0.60,,,,2450,1797,29,1.68,,,,29,29,8671,20,18,22,2.11,16,13,19,6,4,8,9,7,12,1,0,3,0.77,75,72,77,-0.33,,,,,,,,,,76,70,81,74,67,81,20821,51,45,57,1.42,8.6,0.46,No,-0.77,83,13782,80,86,0.23,1,0.65,5912,12905,46,40,52,1.14,26033,32188,81,79,83,1.45,875,22990,3.8,0.17,127481,23974,5.3,0.94,23,15,30,0.44,,,9,20,10,188,74,63,85,-0.86,71,58,84,,,,,,,,,,,,,,,,85,66,108,29,5.7,1.01,31,0.33,
48015,Texas,Austin,,470,9126,7811,10441,-0.36,8283,6336,10639,,,,,,,,,,21637,15154,29954,,,,,,,,,,7983,6292,9675,,4.2,3.4,5.1,-0.37,,8,7,9,-0.30,8,6,9,,,,,,,10,6,14,,,,,,,7,6,9,5.4,4.4,6.4,-0.49,21,19,23,0.25,39,0.23,,,28,33,40,43,0.86,8.0,-0.44,6,20,5063:1,0.95,14,44,2263:1,0.72,14,45,2221:1,0.11,2635,-0.18,,,3829,2146,2505,38,0.59,,,30,30,38,4646,19,17,21,1.87,16,12,19,10,7,13,5,3,8,1,0,2,0.63,81,78,84,0.50,,,,,,,,,,78,55,100,74,69,79,13951,42,35,48,0.67,9.2,0.76,Yes,1.29,81,9847,78,84,0.53,2,0.40,3716,7048,53,46,60,0.54,18828,21285,88,87,90,0.05,533,14498,3.7,0.06,148315,31357,4.7,0.20,18,12,24,-0.13,,,60,17,10,137,90,75,106,-0.31,54,34,81,,,,,,,131,76,209,,,,,,,104,84,127,34,10.9,0.09,26,-0.31,
