Focus Area,Measure,Description,Source,Year(s)
POPULATION HEALTH AND WELL-BEING,,,,
LENGTH OF LIFE,,,,
Life span,Life Expectancy*,Average number of years people are expected to live.,National Center for Health Statistics - Natality and Mortality Files; Census Population Estimates Program,2020-2022
,Premature Age-Adjusted Mortality*,"Number of deaths among residents under age 75 per 100,000 population (age-adjusted).",National Center for Health Statistics - Natality and Mortality Files; Census Population Estimates Program,2020-2022
,Child Mortality*,"Number of deaths among residents under age 20 per 100,000 population.",National Center for Health Statistics - Mortality Files; Census Population Estimates Program,2019-2022
,Infant Mortality*,"Number of infant deaths (within 1 year) per 1,000 live births.",National Center for Health Statistics - Natality and Mortality Files,2016-2022
QUALITY OF LIFE,,,,
Physical health,Frequent Physical Distress,Percentage of adults reporting 14 or more days of poor physical health per month (age-adjusted).,Behavioral Risk Factor Surveillance System,2022
,Diabetes Prevalence,Percentage of adults aged 18 and above with diagnosed diabetes (age-adjusted).,Behavioral Risk Factor Surveillance System,2022
,HIV Prevalence+,"Number of people aged 13 years and older living with a diagnosis of human immunodeficiency virus (HIV) infection per 100,000 population.","National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention",2022
,Adult Obesity,Percentage of the adult population (age 18 and older) that reports a body mass index (BMI) greater than or equal to 30 kg/m2 (age-adjusted).,Behavioral Risk Factor Surveillance System,2022
Mental health,Frequent Mental Distress,Percentage of adults reporting 14 or more days of poor mental health per month (age-adjusted).,Behavioral Risk Factor Surveillance System,2022
,Suicides*,"Number of deaths due to suicide per 100,000 population (age-adjusted).",National Center for Health Statistics - Mortality Files; Census Population Estimates Program,2018-2022
Life satisfaction,Feelings of Loneliness+,"Percentage of adults reporting that they always, usually or sometimes feel lonely.",Behavioral Risk Factor Surveillance System,2022
COMMUNITY CONDITIONS,,,,
HEALTH INFRASTRUCTURE,,,,
Health promotion and harm reduction,Limited Access to Healthy Foods,Percentage of population who are low-income and do not live close to a grocery store.,USDA Food Environment Atlas,2019
,Food Insecurity,Percentage of population who lack adequate access to food.,Map the Meal Gap,2022
,Insufficient Sleep,Percentage of adults who report fewer than 7 hours of sleep on average (age-adjusted).,Behavioral Risk Factor Surveillance System,2022
,Teen Births*,"Number of births per 1,000 female population ages 15-19.",National Center for Health Statistics - Natality Files; Census Population Estimates Program,2017-2023
,Sexually Transmitted Infections+,"Number of newly diagnosed chlamydia cases per 100,000 population.","National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention",2022
,Excessive Drinking,Percentage of adults reporting binge or heavy drinking (age-adjusted).,Behavioral Risk Factor Surveillance System,2022
,Alcohol-Impaired Driving Deaths,Percentage of driving deaths with alcohol involvement.,Fatality Analysis Reporting System,2018-2022
,Drug Overdose Deaths*,"Number of drug poisoning deaths per 100,000 population.",National Center for Health Statistics - Mortality Files; Census Population Estimates Program,2020-2022
,Adult Smoking,Percentage of adults who are current smokers (age-adjusted).,Behavioral Risk Factor Surveillance System,2022
,Physical Inactivity,Percentage of adults age 18 and over reporting no leisure-time physical activity (age-adjusted).,Behavioral Risk Factor Surveillance System,2022
Clinical care,Uninsured Adults,Percentage of adults under age 65 without health insurance.,Small Area Health Insurance Estimates,2022
,Uninsured Children,Percentage of children under age 19 without health insurance.,Small Area Health Insurance Estimates,2022
,Other Primary Care Providers,Ratio of population to primary care providers other than physicians.,"CMS, National Provider Identification",2024
PHYSICAL ENVIRONMENT,,,,
Housing and transportation,Traffic Volume,Average traffic volume per meter of major roadways in the county.,EJSCREEN: Environmental Justice Screening and Mapping Tool,2020
