,,,Population Health and Well-being,,,Community Conditions,,
FIPS,State,County,National Z-Score,Health Group,Health Group Range,National Z-Score,Health Group,Health Group Range
48000,Texas,,,,,,,
48001,Texas,Anderson,0.16,5,-0.05 to 0.27,0.48,8,0.47 to 0.72
48003,Texas,Andrews,-0.01,5,-0.05 to 0.27,0.33,7,0.24 to 0.46
48005,Texas,Angelina,0.60,6,0.28 to 0.6,0.35,7,0.24 to 0.46
48007,Texas,Aransas,0.44,6,0.28 to 0.6,0.49,8,0.47 to 0.72
48009,Texas,Archer,-0.50,3,-0.71 to -0.38,-0.11,5,-0.17 to 0.03
48011,Texas,Armstrong,-0.22,4,-0.38 to -0.06,-0.29,4,-0.37 to -0.17
48013,Texas,Atascosa,0.07,5,-0.05 to 0.27,0.57,8,0.47 to 0.72
48015,Texas,Austin,-0.30,4,-0.38 to -0.06,0.35,7,0.24 to 0.46
48017,Texas,Bailey,0.17,5,-0.05 to 0.27,0.76,9,0.73 to 1.09
48019,Texas,Bandera,-0.24,4,-0.38 to -0.06,0.00,5,-0.17 to 0.03
48021,Texas,Bastrop,-0.35,4,-0.38 to -0.06,0.33,7,0.24 to 0.46
48023,Texas,Baylor,0.50,6,0.28 to 0.6,0.22,6,0.03 to 0.24
48025,Texas,Bee,0.53,6,0.28 to 0.6,0.84,9,0.73 to 1.09
48027,Texas,Bell,-0.03,5,-0.05 to 0.27,-0.03,5,-0.17 to 0.03
48029,Texas,Bexar,-0.10,4,-0.38 to -0.06,0.08,6,0.03 to 0.24
48031,Texas,Blanco,-0.60,3,-0.71 to -0.38,-0.26,4,-0.37 to -0.17
48033,Texas,Borden,,,,,,
48035,Texas,Bosque,0.09,5,-0.05 to 0.27,0.25,7,0.24 to 0.46
48037,Texas,Bowie,0.59,6,0.28 to 0.6,0.29,7,0.24 to 0.46
48039,Texas,Brazoria,-0.54,3,-0.71 to -0.38,-0.03,5,-0.17 to 0.03
48041,Texas,Brazos,-0.62,3,-0.71 to -0.38,0.08,6,0.03 to 0.24
48043,Texas,Brewster,-0.46,3,-0.71 to -0.38,-0.18,4,-0.37 to -0.17
48045,Texas,Briscoe,0.53,6,0.28 to 0.6,0.73,9,0.73 to 1.09
48047,Texas,Brooks,1.24,8,0.96 to 1.38,1.47,10,1.09 to 1.98
48049,Texas,Brown,0.25,5,-0.05 to 0.27,0.11,6,0.03 to 0.24
48051,Texas,Burleson,0.19,5,-0.05 to 0.27,0.28,7,0.24 to 0.46
48053,Texas,Burnet,-0.27,4,-0.38 to -0.06,-0.02,5,-0.17 to 0.03
48055,Texas,Caldwell,-0.02,5,-0.05 to 0.27,0.56,8,0.47 to 0.72
48057,Texas,Calhoun,-0.27,4,-0.38 to -0.06,0.34,7,0.24 to 0.46
48059,Texas,Callahan,0.20,5,-0.05 to 0.27,-0.05,5,-0.17 to 0.03
48061,Texas,Cameron,0.41,6,0.28 to 0.6,1.18,10,1.09 to 1.98
48063,Texas,Camp,0.65,7,0.6 to 0.95,0.51,8,0.47 to 0.72
48065,Texas,Carson,-0.20,4,-0.38 to -0.06,-0.43,3,-0.58 to -0.37
48067,Texas,Cass,0.77,7,0.6 to 0.95,0.61,8,0.47 to 0.72
48069,Texas,Castro,-0.05,5,-0.05 to 0.27,0.48,8,0.47 to 0.72
48071,Texas,Chambers,-0.46,3,-0.71 to -0.38,0.15,6,0.03 to 0.24
48073,Texas,Cherokee,0.38,6,0.28 to 0.6,0.57,8,0.47 to 0.72
48075,Texas,Childress,0.08,5,-0.05 to 0.27,0.25,7,0.24 to 0.46
48077,Texas,Clay,-0.34,4,-0.38 to -0.06,0.17,6,0.03 to 0.24
48079,Texas,Cochran,1.00,8,0.96 to 1.38,0.89,9,0.73 to 1.09
48081,Texas,Coke,0.26,5,-0.05 to 0.27,0.13,6,0.03 to 0.24
48083,Texas,Coleman,0.63,7,0.6 to 0.95,0.42,7,0.24 to 0.46
48085,Texas,Collin,-1.37,1,-1.81 to -1.08,-0.79,2,-0.81 to -0.58
48087,Texas,Collingsworth,0.44,6,0.28 to 0.6,0.60,8,0.47 to 0.72
48089,Texas,Colorado,0.21,5,-0.05 to 0.27,0.19,6,0.03 to 0.24
48091,Texas,Comal,-0.85,2,-1.07 to -0.71,-0.42,3,-0.58 to -0.37
48093,Texas,Comanche,-0.24,4,-0.38 to -0.06,0.54,8,0.47 to 0.72
48095,Texas,Concho,0.44,6,0.28 to 0.6,0.25,7,0.24 to 0.46
48097,Texas,Cooke,-0.40,3,-0.71 to -0.38,0.18,6,0.03 to 0.24
48099,Texas,Coryell,-0.17,4,-0.38 to -0.06,0.02,5,-0.17 to 0.03
48101,Texas,Cottle,0.43,6,0.28 to 0.6,0.64,8,0.47 to 0.72
48103,Texas,Crane,0.09,5,-0.05 to 0.27,0.64,8,0.47 to 0.72
48105,Texas,Crockett,0.22,5,-0.05 to 0.27,0.20,6,0.03 to 0.24
48107,Texas,Crosby,1.08,8,0.96 to 1.38,0.70,8,0.47 to 0.72
48109,Texas,Culberson,0.47,6,0.28 to 0.6,0.60,8,0.47 to 0.72
48111,Texas,Dallam,0.57,6,0.28 to 0.6,0.17,6,0.03 to 0.24
48113,Texas,Dallas,-0.31,4,-0.38 to -0.06,0.10,6,0.03 to 0.24
48115,Texas,Dawson,0.98,8,0.96 to 1.38,0.81,9,0.73 to 1.09
48117,Texas,Deaf Smith,0.22,5,-0.05 to 0.27,0.41,7,0.24 to 0.46
48119,Texas,Delta,0.15,5,-0.05 to 0.27,0.25,7,0.24 to 0.46
48121,Texas,Denton,-1.25,1,-1.81 to -1.08,-0.73,2,-0.81 to -0.58
48123,Texas,DeWitt,0.10,5,-0.05 to 0.27,0.35,7,0.24 to 0.46
48125,Texas,Dickens,0.16,5,-0.05 to 0.27,0.76,9,0.73 to 1.09
48127,Texas,Dimmit,1.07,8,0.96 to 1.38,1.22,10,1.09 to 1.98
48129,Texas,Donley,0.27,5,-0.05 to 0.27,0.24,6,0.03 to 0.24
48131,Texas,Duval,1.18,8,0.96 to 1.38,1.21,10,1.09 to 1.98
48133,Texas,Eastland,0.32,6,0.28 to 0.6,0.48,8,0.47 to 0.72
48135,Texas,Ector,0.50,6,0.28 to 0.6,0.41,7,0.24 to 0.46
48137,Texas,Edwards,0.51,6,0.28 to 0.6,0.76,9,0.73 to 1.09
48139,Texas,Ellis,-0.61,3,-0.71 to -0.38,-0.13,5,-0.17 to 0.03
48141,Texas,El Paso,0.00,5,-0.05 to 0.27,0.44,7,0.24 to 0.46
48143,Texas,Erath,-0.33,4,-0.38 to -0.06,0.19,6,0.03 to 0.24
48145,Texas,Falls,0.57,6,0.28 to 0.6,0.55,8,0.47 to 0.72
48147,Texas,Fannin,0.07,5,-0.05 to 0.27,0.36,7,0.24 to 0.46
48149,Texas,Fayette,-0.30,4,-0.38 to -0.06,0.00,5,-0.17 to 0.03
48151,Texas,Fisher,0.81,7,0.6 to 0.95,-0.07,5,-0.17 to 0.03
48153,Texas,Floyd,0.36,6,0.28 to 0.6,0.71,8,0.47 to 0.72
48155,Texas,Foard,0.37,6,0.28 to 0.6,1.02,9,0.73 to 1.09
48157,Texas,Fort Bend,-1.07,2,-1.07 to -0.71,-0.46,3,-0.58 to -0.37
48159,Texas,Franklin,-0.22,4,-0.38 to -0.06,0.04,6,0.03 to 0.24
48161,Texas,Freestone,0.08,5,-0.05 to 0.27,0.51,8,0.47 to 0.72
48163,Texas,Frio,0.65,7,0.6 to 0.95,1.09,9,0.73 to 1.09
48165,Texas,Gaines,0.03,5,-0.05 to 0.27,0.99,9,0.73 to 1.09
48167,Texas,Galveston,-0.35,4,-0.38 to -0.06,0.01,5,-0.17 to 0.03
48169,Texas,Garza,-0.04,5,-0.05 to 0.27,0.62,8,0.47 to 0.72
48171,Texas,Gillespie,-0.55,3,-0.71 to -0.38,-0.18,4,-0.37 to -0.17
48173,Texas,Glasscock,,,,,,
48175,Texas,Goliad,-0.20,4,-0.38 to -0.06,0.35,7,0.24 to 0.46
48177,Texas,Gonzales,0.22,5,-0.05 to 0.27,0.63,8,0.47 to 0.72
48179,Texas,Gray,0.32,6,0.28 to 0.6,0.21,6,0.03 to 0.24
48181,Texas,Grayson,-0.13,4,-0.38 to -0.06,0.03,6,0.03 to 0.24
48183,Texas,Gregg,0.43,6,0.28 to 0.6,0.19,6,0.03 to 0.24
48185,Texas,Grimes,0.08,5,-0.05 to 0.27,0.55,8,0.47 to 0.72
