variable,diabetes,obesity,smoking,uninsured,high_blood_pressure,coronary_heart_disease,rpl_themes,ep_pov150,ep_unemp,ep_nohsdp
diabetes,1,0.85,0.6,0.82,0.49,0.71,0.58,0.85,0.27,0.69
obesity,0.85,1,0.65,0.73,0.39,0.56,0.62,0.76,0.31,0.6
smoking,0.6,0.65,1,0.28,0.67,0.77,0.5,0.68,0.34,0.38
uninsured,0.82,0.73,0.28,1,-0.05,0.28,0.53,0.67,0.16,0.85
high_blood_pressure,0.49,0.39,0.67,-0.05,1,0.9,0.19,0.43,0.19,-0.01
coronary_heart_disease,0.71,0.56,0.77,0.28,0.9,1,0.29,0.66,0.21,0.31
rpl_themes,0.58,0.62,0.5,0.53,0.19,0.29,1,0.67,0.47,0.48
ep_pov150,0.85,0.76,0.68,0.67,0.43,0.66,0.67,1,0.32,0.63
ep_unemp,0.27,0.31,0.34,0.16,0.19,0.21,0.47,0.32,1,0.14
ep_nohsdp,0.69,0.6,0.38,0.85,-0.01,0.31,0.48,0.63,0.14,1
