variable,diabetes,obesity,smoking,high_blood_pressure,coronary_heart_disease,uninsured,rpl_themes,ep_pov150,ep_unemp,ep_nohsdp,ep_uninsur
diabetes,1,0.85,0.6,0.49,0.71,0.82,0.58,0.85,0.27,0.69,0.5
obesity,0.85,1,0.65,0.39,0.56,0.73,0.62,0.76,0.31,0.6,0.5
smoking,0.6,0.65,1,0.67,0.77,0.28,0.5,0.68,0.34,0.38,0.31
high_blood_pressure,0.49,0.39,0.67,1,0.9,-0.05,0.19,0.43,0.19,-0.01,0.06
coronary_heart_disease,0.71,0.56,0.77,0.9,1,0.28,0.29,0.66,0.21,0.31,0.27
uninsured,0.82,0.73,0.28,-0.05,0.28,1,0.53,0.67,0.16,0.85,0.57
rpl_themes,0.58,0.62,0.5,0.19,0.29,0.53,1,0.67,0.47,0.48,0.43
ep_pov150,0.85,0.76,0.68,0.43,0.66,0.67,0.67,1,0.32,0.63,0.5
ep_unemp,0.27,0.31,0.34,0.19,0.21,0.16,0.47,0.32,1,0.14,0.16
ep_nohsdp,0.69,0.6,0.38,-0.01,0.31,0.85,0.48,0.63,0.14,1,0.58
ep_uninsur,0.5,0.5,0.31,0.06,0.27,0.57,0.43,0.5,0.16,0.58,1
