county,county_fips,diabetes,predicted_diabetes,residual,obesity,uninsured,rpl_themes
Jeff Davis,48243,17.15,14.028481089738865,3.121518910261134,37.95,18.65,0.4738
Presidio,48377,20,17.432344728643045,2.567655271356955,41.75,35.15,0.9933
Childress,48075,12,14.131658475845168,-2.1316584758451675,36.7,21.200000000000003,0.7178
Terrell,48443,12.7,10.627007098005663,2.0729929019943363,34.05,17.15,0.0859
Hudspeth,48229,15.85,17.77776315472386,-1.927763154723861,41.05,37.75,0.9943
Fort Bend,48157,11.55,9.632022389661206,1.917977610338795,29.75,12.8,0.4515
Marion,48315,15.45,13.542464751776235,1.9075352482237644,39.1,14.3,0.7315
Coryell,48099,10.9,12.610050565070923,-1.7100505650709223,37.65,15.75,0.833
Culberson,48109,17.75,16.073162846506325,1.6768371534936755,40.55,31.65,0.8393
San Augustine,48405,18.049999999999997,16.417241924771808,1.632758075228189,43.7,18.25,0.9885
Borden,48033,11.25,9.731176011245243,1.5188239887547574,33.1,11.95,0.0267
Ector,48135,13.2,14.67632730672941,-1.4763273067294111,40.05,27.9,0.9421
Erath,48143,10.9,12.367501111207305,-1.467501111207305,34.599999999999994,15.05,0.7996
Menard,48327,14.85,13.38313253428674,1.4668674657132588,37.05,21.4,0.8606
Mason,48319,12.15,10.68877088056916,1.4612291194308398,33.9,15.05,0.2724
