county,diabetes,predicted_diabetes,residual,obesity,smoking,uninsured,ep_pov150,rpl_themes
Jeff Davis,17.15,14.224915130227668,2.9250848697723306,37.95,14.65,18.65,33,0.4738
Presidio,20,17.696063946821038,2.303936053178962,41.75,15.4,35.15,46.8,0.9933
Fort Bend,11.55,9.632773533645889,1.917226466354112,29.75,9.65,12.8,12.7,0.4515
Terrell,12.7,10.91667853090202,1.783321469097979,34.05,9.6,17.15,7,0.0859
Marion,15.45,13.72829506988079,1.721704930119209,39.1,18.1,14.3,28.2,0.7315
Culberson,17.75,16.225437487259498,1.524562512740502,40.55,16.5,31.65,28.7,0.8393
San Augustine,18.049999999999997,16.529434612530643,1.5205653874693539,43.7,22.35,18.25,41.1,0.9885
Menard,14.85,13.511972758003191,1.3380272419968087,37.05,14.5,21.4,27.2,0.8606
Mason,12.15,10.912687062039831,1.2373129379601693,33.9,11.95,15.05,13.3,0.2724
Crockett,14.95,13.758386023569127,1.1916139764308724,37.650000000000006,14.35,28.9,15.4,0.4098
